Tag;"Tag im
Monat";Monat;"S Ndschlag
[mm]";"S Nettostra
[W/m�]";"S Globalstra
[W/m�]";"Lufttemp
[�C]";"Luftfeuchte
[%]";"Windgesch
[m/s]";"Bodentemp1
[�C] 10 cm";"Bodentemp2
[�C] 20 cm";"Bodentemp3
[�C] 30 cm";"Bodentemp4
[�C] 40 cm";"Bodentemp5
[�C] 50 cm";"Bodentemp6
[�C] 10 cm";"Lufttemp
Max [�C]";"Lufttemp
Min [�C]";"S Ndschlag
ab 7 Uhr
[mm]";;;;;;;
121;1;5;0,00;2682,55;5279,81;17,26;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;23,87;10,49;0,00;;;;;;;
122;2;5;0,00;1497,89;3377,65;14,94;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;19,09;11,25;0,00;;;;;;;
123;3;5;0,00;238,04;1354,77;10,51;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;13,36;6,95;0,00;;;;;;;
124;4;5;0,00;1651,66;3624,56;9,16;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;13,36;4,75;0,00;;;;;;;
125;5;5;1,10;1166,41;2845,41;10,74;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;14,31;6,66;1,10;;;;;;;
126;6;5;0,00;575,78;1897,07;10,92;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;12,40;8,57;0,00;;;;;;;
127;7;5;0,00;1601,09;3053,93;13,85;999,00;999,00;999,00;999,00;999,00;999,00;999,00;999,00;16,03;11,44;0,00;;;;;;;
128;8;5;0,10;3570,29;6826,32;16,11;75,77;2,02;13,65;12,73;11,91;11,36;10,88;13,57;21,33;12,14;2,59;;;;;;;
129;9;5;0,00;2802,47;5362,72;17,76;77,83;2,05;14,60;13,80;12,93;12,22;11,51;14,53;25,45;8,87;1,39;;;;;;;
130;10;5;0,10;3694,13;6836,59;19,76;74,36;1,51;15,90;14,79;13,75;12,90;12,08;15,75;26,15;11,64;2,39;;;;;;;
131;11;5;0,00;4061,44;6746,72;19,92;76,93;1,41;16,90;15,81;14,71;13,74;12,79;16,74;26,44;12,22;0,80;;;;;;;
