Parzelle;Rohr;Blickrichtung;Tiefe;TK;Bonitur;Datum;BLOCK;FRUFOL;KULTUR1;KULTUR2;BOBE;N-Due
8;a;rechts;85;90;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Off.-30%
8;a;rechts;90;90;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Off.-30%
8;a;rechts;95;105;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Off.-30%
8;a;rechts;100;105;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Off.-30%
8;a;rechts;105;105;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Off.-30%
8;a;rechts;110;120;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Off.-30%
8;a;rechts;115;120;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Off.-30%
8;a;rechts;120;120;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Off.-30%
8;b;links;5;15;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Off.-30%
8;b;links;10;15;0.5;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Off.-30%
8;b;links;15;15;0.5;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Off.-30%
8;b;links;20;30;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Off.-30%
8;b;links;25;30;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Off.-30%
8;b;links;30;30;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Off.-30%
8;b;links;35;45;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Off.-30%
8;b;links;40;45;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Off.-30%
8;b;links;45;45;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Off.-30%
