PaNr;Reihe;Blickrichtung;Tiefe;Bonitur;Datum;TK;PARZNR.;BLOCK;FRUCHTFOLGE;KULTUR1;KULTUR2;BOBE;N-DÜNGUNG
16;1;1;35;5;15.05.1995;45;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;40;5;15.05.1995;45;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;45;2.5;15.05.1995;45;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;50;2;15.05.1995;60;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;55;0;15.05.1995;60;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;60;1;15.05.1995;60;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;65;0;15.05.1995;75;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;70;0;15.05.1995;75;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;75;1;15.05.1995;75;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;80;0;15.05.1995;90;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;85;0;15.05.1995;90;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;90;0;15.05.1995;90;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;95;0;15.05.1995;105;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;100;1;15.05.1995;105;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;105;0;15.05.1995;105;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;110;1;15.05.1995;120;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;115;1;15.05.1995;120;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;1;120;0;15.05.1995;120;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;5;3;15.05.1995;15;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;10;4;15.05.1995;15;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;15;5;15.05.1995;15;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;20;2.5;15.05.1995;30;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;25;3;15.05.1995;30;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;30;5;15.05.1995;30;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;35;4;15.05.1995;45;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;40;4;15.05.1995;45;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;45;2.5;15.05.1995;45;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;50;1.5;15.05.1995;60;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;55;0;15.05.1995;60;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;60;1;15.05.1995;60;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;65;0;15.05.1995;75;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;70;0.5;15.05.1995;75;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;75;1.5;15.05.1995;75;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;80;1;15.05.1995;90;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;85;0;15.05.1995;90;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;90;0;15.05.1995;90;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;95;0;15.05.1995;105;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;100;0;15.05.1995;105;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;105;0;15.05.1995;105;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;110;0;15.05.1995;120;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;115;0;15.05.1995;120;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;1;2;120;0;15.05.1995;120;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;5;0.5;15.05.1995;15;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;10;0;15.05.1995;15;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;15;0;15.05.1995;15;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;20;0;15.05.1995;30;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;25;0.5;15.05.1995;30;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;30;0;15.05.1995;30;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;35;0;15.05.1995;45;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;40;0;15.05.1995;45;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;45;0;15.05.1995;45;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;50;1;15.05.1995;60;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;55;0;15.05.1995;60;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;60;0;15.05.1995;60;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;65;1.5;15.05.1995;75;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;70;0;15.05.1995;75;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;75;1;15.05.1995;75;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;80;0;15.05.1995;90;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;85;0;15.05.1995;90;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;90;0;15.05.1995;90;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;95;0.5;15.05.1995;105;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;100;0;15.05.1995;105;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;105;0;15.05.1995;105;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;110;0;15.05.1995;120;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;115;0;15.05.1995;120;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;1;120;0;15.05.1995;120;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;5;1;15.05.1995;15;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;10;0;15.05.1995;15;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;15;0;15.05.1995;15;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;20;0;15.05.1995;30;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;25;0;15.05.1995;30;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;30;0;15.05.1995;30;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;35;0.5;15.05.1995;45;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;40;0;15.05.1995;45;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;45;0;15.05.1995;45;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;50;0.5;15.05.1995;60;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;55;1;15.05.1995;60;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;60;0;15.05.1995;60;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;65;0.5;15.05.1995;75;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;70;0;15.05.1995;75;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;75;0.5;15.05.1995;75;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;80;0;15.05.1995;90;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;85;0;15.05.1995;90;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;90;0;15.05.1995;90;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;95;0;15.05.1995;105;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;100;0;15.05.1995;105;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;105;0;15.05.1995;105;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;110;0;15.05.1995;120;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;115;0;15.05.1995;120;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
16;2;2;120;0.5;15.05.1995;120;16;1;Gemüse;Weizen;Spinat;Pflug;N reduziert
20;1;1;5;1;15.05.1995;15;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;10;0.5;15.05.1995;15;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;15;1;15.05.1995;15;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;20;0.5;15.05.1995;30;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;25;0.5;15.05.1995;30;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;30;25;15.05.1995;30;20;1;Agrar;WWeizen;Senf;Pflug;N normal
