Datum;Variante;Rohr;Blickrichtung;Tiefe;Bonitur;TK;PARZNR.;BLOCK;FRUCHTFOLGE;KULTUR1;KULTUR2;BOBEA;N-DÜNGUNG;PARZNR.;BLOCK;FRUCHTFOLGE;KULTUR1;KULTUR2;BOBEA;N-DÜNGUNG
26.04.1995;55;1;1;15;1.5;15;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;1;20;1;30;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;1;25;1;30;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;1;30;0.5;30;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;1;35;0.5;45;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;1;40;0.5;45;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;1;45;1.5;45;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;1;50;1;60;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;1;55;0;60;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;1;60;0;60;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;1;65;0;75;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;1;70;0;75;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;1;75;0;75;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;1;80;0;90;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;1;85;0;90;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;1;90;0;90;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;1;95;0;105;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;1;100;0;105;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;1;105;0;105;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;1;110;0;120;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;1;115;0;120;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;1;120;0;120;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;2;5;;15;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;2;10;;15;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;2;15;;15;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;2;20;;30;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;2;25;;30;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;2;30;;30;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;2;35;;45;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;2;40;;45;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;2;45;;45;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;2;50;;60;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;2;55;;60;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;2;60;;60;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;2;65;;75;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;2;70;;75;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;2;75;;75;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;2;80;;90;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;2;85;;90;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;2;90;;90;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;2;95;;105;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;2;100;;105;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;2;105;;105;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;2;110;;120;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;2;115;;120;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;1;2;120;;120;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
