time,id,organ_type,sub_type,connect_no,organ_id,organ_id2,parent_organ,length,res_main,carbon_q,c_satis,rw_satis,c_demand_2,growth_rate,exudation,order,organ_length,coor_x,coor_y,coor_z,connection_1,connection_2,radius,r_xyl_node,radial_water,r_xyl,r_st,connection_belong,JW_Trsv,Q_ST,C_ST,P_Xyl,P_ST,JW_Xyl,JW_ST,JS_ST
2,22,2,1,2,0,1,0,0.03749999999999999,3.966657323232317e-09,,,,,,,1,,-0.0018446700419755436,0.0023927787986135584,-0.0571757279715699,13,12,0.1,,,1e-09,0.0001,,0.015570500000000001,0.170709,0.13131400000000001,-0.102699,-0.186113,18.6357,3.69521,0.6370819999999999
2,23,2,1,1,0,1,0,0.037960034088738485,7.299190348124221e-10,0.630484992,268.3118820443968,0.9349642286541388,0.002349821361603641,1.8699284573082775,0.6281351706383963,1,3.7960034088738492,-0.0019264912085681192,0.002422160469262233,-0.05762747278551775,29,13,0.1,,,1e-09,0.0001,15.0,-1.34996,0.00397926,0.00306097,-0.1,-0.18651099999999998,9.28459,1.8138,0.318921
2,24,4,2,2,4,7,2,0.0125,1.5866629292929298e-08,,,,,,,2,,0.0020225424859373685,-2.476900181542729e-19,-0.008530536869268817,30,29,0.2,,,1e-09,0.0001,,0.0339219,0.22416799999999998,0.17243699999999998,-0.145341,-0.12322000000000001,9.21163,1.74088,0.319279
2,25,4,2,2,4,7,2,0.015000000000000001,1.5866629292929298e-08,,,,,,,2,,0.004045084971874737,-4.953800363085458e-19,-0.007061073738537633,31,30,0.2,,,1e-09,0.0001,,0.07285739999999999,0.228634,0.175872,-0.145341,-0.12309400000000001,9.05211,1.58118,0.319608
2,26,4,2,2,4,7,2,0.0175,1.5866629292929298e-08,,,,,,,2,,0.006067627457812106,-7.430700544628187e-19,-0.00559161060780645,32,31,0.2,,,1e-09,0.0001,,0.159605,0.238472,0.18344000000000002,-0.145341,-0.122971,8.67533,1.20415,0.31990100000000005
2,27,4,2,2,4,7,2,0.02,1.586662929292929e-08,,,,,,,2,,0.008090169943749474,-9.907600726170917e-19,-0.004122147477075266,24,13,0.2,,,1e-09,0.0001,,0.376897,0.262819,0.20216800000000001,-0.145341,-0.122858,9.31782,1.84729,0.31854099999999996
2,28,4,2,1,4,7,2,0.020367606998669515,2.333073589350216e-09,,,,,,,2,,0.008387570252924281,-1.0271811062867277e-18,-0.0039060735046178275,25,24,0.2,,,1e-09,0.0001,,1.13501,0.345406,0.26569699999999996,-0.145341,-0.12276500000000001,9.2841,1.8133700000000001,0.318921
2,29,3,1,2,3,2,0,0.0125,3.9666573232323245e-09,,,,,,,1,,0.0,0.0,-0.0075,26,25,0.1,,,1e-09,0.0001,,0.0729196,0.228579,0.17583,-0.145341,-0.123222,9.2108,1.7405099999999998,0.319279
2,30,3,1,2,3,2,0,0.015,3.966657323232323e-09,,,,,,,1,,0.0,0.0,-0.005,27,26,0.1,,,1e-09,0.0001,,0.159699,0.23842199999999997,0.183401,-0.145341,-0.123099,9.05157,1.5809,0.319608
2,31,3,1,2,3,2,0,0.017499999999999998,3.966657323232323e-09,,,,,,,1,,0.0,0.0,-0.0025,28,27,0.1,,,1e-09,0.0001,,0.377027,0.262773,0.20213299999999998,-0.145341,-0.12298599999999998,8.6747,1.20401,0.31990100000000005
2,32,3,1,1,3,2,0,0.019032516392808094,2.431586949002328e-09,,,,,,,1,,0.0,0.0,-0.0009674836071919035,,,0.1,,,,,,1.13516,0.345364,0.265664,-0.145341,-0.122893,,,
3,1,2,1,2,0,0,0,0.0,0.0,,,,,,,1,,0.0,0.0,-0.02,1,2,0.1,,,0.0001401689298628721,0.0023382580359966997,,0.0206297,0.207668,0.159744,-0.16212200000000002,-0.17108199999999998,18.817999999999998,3.87828,0.619532
3,2,2,1,2,0,1,0,0.0024999999999999957,3.966657323232317e-09,,,,,,,1,,1.2060908717797793e-05,-3.786535874796665e-05,-0.022499684129862765,2,3,0.1,,,0.0001401689298628721,0.0023382580359967036,,0.0374129,0.205292,0.157917,-0.159484,-0.177304,18.8554,3.91569,0.618354
3,3,2,1,2,0,1,0,0.004999999999999996,3.9666573232323245e-09,,,,,,,1,,-1.58928020557659e-05,-9.202623575990673e-05,-0.024998941057322463,3,4,0.1,,,0.0001401689298628721,0.0023382580359967045,,0.0494645,0.202347,0.155651,-0.156841,-0.183575,18.9049,3.96515,0.6171810000000001
3,4,2,1,2,0,1,0,0.007499999999999996,3.9666573232323245e-09,,,,,,,1,,-0.00012677853671255463,-3.8837618076948205e-05,-0.02749591429001812,4,5,0.1,,,0.0001401689298628721,0.0023382580359967028,,0.058566499999999994,0.199024,0.153095,-0.154191,-0.189909,18.9635,4.02372,0.616013
3,5,2,1,3,0,1,0,0.009999999999999995,3.966657323232323e-09,,,,,,,1,,-0.00020922302997775574,0.0002932239649391545,-0.02997239122522569,5,6,0.1,,,0.0001401689298628721,0.0023382580359967028,,0.0658724,0.195449,0.150345,-0.151533,-0.196321,19.0294,2.95644,0.444486
3,6,2,1,2,0,1,0,0.012499999999999994,3.966657323232323e-09,,,,,,,1,,-2.2464918200098376e-05,0.0005967527352684718,-0.03244685918688282,6,7,0.1,,,0.0001401689298628721,0.0023382580359967028,,0.059327099999999994,0.191105,0.147004,-0.148866,-0.201018,19.0887,3.0157700000000003,0.443329
3,7,2,1,2,0,1,0,0.014999999999999993,3.966657323232323e-09,,,,,,,1,,0.00017952172977105842,0.0008930168158287259,-0.034921011362601034,7,8,0.1,,,0.0001401689298628721,0.002338258035996709,,0.0562869,0.187115,0.14393399999999998,-0.14619000000000001,-0.205792,19.145,3.07205,0.44217399999999996
3,8,2,1,2,0,1,0,0.017499999999999998,3.966657323232333e-09,,,,,,,1,,0.0002834192447623262,0.0011450340611697336,-0.03740610544823027,8,9,0.1,,,0.0001401689298628721,0.0023382580359967028,,0.0553653,0.183321,0.141016,-0.143507,-0.210641,19.2004,3.12742,0.441017
3,9,2,1,3,0,1,0,0.019999999999999997,3.966657323232323e-09,,,,,,,1,,-7.35688080508968e-05,0.0016791470692454839,-0.03982215238998303,9,16,0.1,,,0.0001401689298628721,0.0023382580359966997,,0.05577669999999999,0.179636,0.138181,-0.140815,-0.21556199999999998,19.2562,2.09291,0.289202
3,10,3,1,2,4,2,0,0.0024999999999999988,3.966657323232323e-09,,,,,,,1,,0.0,0.0,-0.0175,16,17,0.1,,,0.0001401689298628721,0.0023382580359967028,,-0.00360217,0.209177,0.160905,-0.16475599999999999,-0.164885,19.2997,2.1364,0.288041
3,11,3,1,2,4,2,0,0.005000000000000001,3.966657323232327e-09,,,,,,,1,,0.0,0.0,-0.015,17,18,0.1,,,0.0001401689298628721,0.0023382580359967028,,-0.00293943,0.20938099999999998,0.16106199999999998,-0.16475599999999999,-0.16462000000000002,19.337,2.17365,0.28687199999999996
3,12,3,1,2,4,2,0,0.0075,3.966657323232323e-09,,,,,,,1,,0.0,0.0,-0.0125,18,19,0.1,,,0.0001401689298628721,0.0023382580359966997,,-0.00197869,0.209619,0.161245,-0.164757,-0.164354,19.3712,2.2079,0.285694
3,13,3,1,3,4,2,0,0.01,3.9666573232323245e-09,,,,,,,1,,0.0,0.0,-0.01,19,20,0.1,,,0.0001401689298628721,0.002338258035996706,,-0.000581418,0.209907,0.161467,-0.164757,-0.164088,19.4043,1.05968,0.13453299999999999
3,14,2,6,2,1,3,1,0.012499999999999995,2.2312447443181825e-09,,,,,,,2,,-0.0022462405068512602,-0.0007217315774586838,-0.031007004701780007,20,21,0.075,,,0.0001401689298628721,0.0023382580359967123,,6.22774e-05,0.193746,0.149035,-0.17493499999999998,-0.2077,19.4212,1.0766200000000001,0.13333499999999998
3,15,2,6,2,2,4,1,0.022499999999999996,2.231244744318181e-09,,,,,,,2,,0.0005936316342591493,0.004051640298456525,-0.04024181826556626,21,22,0.075,,,0.0001401689298628721,0.0023382580359966997,,5.16676e-05,0.177851,0.13680799999999999,-0.161131,-0.226374,19.4314,1.08679,0.132116
3,16,2,1,2,0,1,0,0.022499999999999992,3.966657323232317e-09,,,,,,,1,,-0.0003679149414462908,0.0016484838532210846,-0.04230457461856104,22,23,0.1,,,0.0001401689298628721,0.002338258035996706,,0.0434908,0.175273,0.134825,-0.13811600000000002,-0.21884499999999998,19.4387,1.09405,0.130876
3,17,2,1,2,0,1,0,0.02499999999999999,3.966657323232323e-09,,,,,,,1,,-0.0006152185720697667,0.0019380883406684385,-0.044775398399232336,23,41,0.1,,,0.0001401689298628721,0.002338258035996706,,0.037240800000000004,0.171571,0.13197799999999998,-0.135411,-0.222185,19.4447,1.10008,0.129619
3,18,2,1,2,0,1,0,0.02749999999999999,3.966657323232323e-09,,,,,,,1,,-0.0008528099756798468,0.0021900046043894887,-0.04725129995644405,41,42,0.1,,,0.0001401689298628721,0.0023382580359967123,,0.034252,0.168216,0.129397,-0.1327,-0.225573,19.4502,1.10558,0.128349
3,19,2,1,3,0,1,0,0.029999999999999985,3.966657323232317e-09,,,,,,,1,,-0.0011164003322468121,0.0021842095057192897,-0.04973735839114672,42,43,0.1,,,0.0001401689298628721,0.002338258035996706,,0.033086800000000006,0.165043,0.12695599999999999,-0.129985,-0.229006,19.4555,1.1109,0.127066
3,20,2,1,2,0,1,0,0.03249999999999999,3.966657323232327e-09,,,,,,,1,,-0.0012253906003422078,0.0023339709330477327,-0.052230487476522175,43,44,0.1,,,0.0001401689298628721,0.002338258035996706,,0.0169355,0.161,0.123846,-0.12726500000000002,-0.23064899999999997,19.4608,1.1162,0.125773
