position,depth,treatment,year,growth.stage,rld,root_res_volume
IR,26.5,S_WT,2020,BBCH19,0.859,0.00003391
IR,36.5,S_WT,2020,BBCH19,0.5138,0.00001129
IR,6.5,S_rth3,2020,BBCH19,1.2522,0.0005016
IR,16.5,S_rth3,2020,BBCH19,0.3813,0.0002692
IR,26.5,S_rth3,2020,BBCH19,0.6144,0.0001993
IR,36.5,S_rth3,2020,BBCH19,0.654,0.0002442
IR,6.5,L_WT,2020,BBCH19,1.8106,0.0000040565
IR,16.5,L_WT,2020,BBCH19,0.8864,0.00001442
IR,26.5,L_WT,2020,BBCH19,2.4615,0.00001689
IR,36.5,L_WT,2020,BBCH19,0.4055,0.0000088955
IR,6.5,S_WT,2020,BBCH19,0.9465,0.0004095
IR,16.5,S_WT,2020,BBCH19,0.2029,0.0003927
IR,26.5,S_WT,2020,BBCH19,0.4111,0.0002442
IR,36.5,S_WT,2020,BBCH19,0.214,0.0003792
IR,6.5,S_rth3,2020,BBCH19,2.0605,0.001008
IR,16.5,S_rth3,2020,BBCH19,1.0845,0.00004726
IR,26.5,S_rth3,2020,BBCH19,0.6685,0.00001409
IR,36.5,S_rth3,2020,BBCH19,0.2488,0.00004596
IR,6.5,L_WT,2020,BBCH19,0,0.00001287
IR,16.5,L_WT,2020,BBCH19,0.7551,0.0000043484
IR,26.5,L_WT,2020,BBCH19,0.7476,0.00003809
IR,36.5,L_WT,2020,BBCH19,0.9113,0.00002111
IR,6.5,L_rth3,2020,BBCH19,0.4424,0.00001552
IR,16.5,L_rth3,2020,BBCH19,0.5715,0.0000064319
IR,26.5,L_rth3,2020,BBCH19,0.4456,0
IR,36.5,L_rth3,2020,BBCH19,0.2252,0.000005754
IR,6.5,L_WT,2020,BBCH19,1.1812,0.00001052
IR,16.5,L_WT,2020,BBCH19,0.9997,0.0000023619
IR,26.5,L_WT,2020,BBCH19,0.864,0.0000015138
IR,36.5,L_WT,2020,BBCH19,0.633,0.000001962
IR,6.5,L_rth3,2020,BBCH19,0.5849,0.00009231
IR,16.5,L_rth3,2020,BBCH19,1.2515,0.00002732
IR,26.5,L_rth3,2020,BBCH19,0.7463,0.0000017008
IR,36.5,L_rth3,2020,BBCH19,0.9681,0
IR,6.5,S_WT,2020,BBCH19,3.2277,0.0000882
IR,16.5,S_WT,2020,BBCH19,0.1908,0.0000055219
IR,26.5,S_WT,2020,BBCH19,0.2376,0.00009536
IR,36.5,S_WT,2020,BBCH19,0.1745,0.0000129
IR,6.5,L_WT,2021,BBCH19,0.08654,0.00004947
IR,16.5,L_WT,2021,BBCH19,1.0798,0.00007118
IR,26.5,L_WT,2021,BBCH19,0.3861,0.00002567
IR,36.5,L_WT,2021,BBCH19,0.4758,0.00001165
IR,6.5,S_rth3,2021,BBCH19,1.3368,0.0006982
IR,16.5,S_rth3,2021,BBCH19,2.551,0.0004401
IR,26.5,S_rth3,2021,BBCH19,1.0144,0.0001584
IR,36.5,S_rth3,2021,BBCH19,0.451,0.00003431
IR,6.5,S_WT,2021,BBCH19,1.3228,0.0001913
IR,16.5,S_WT,2021,BBCH19,2.1936,0.0004646
IR,26.5,S_WT,2021,BBCH19,1.4999,0.0003075
IR,36.5,S_WT,2021,BBCH19,0.1856,0.0001755
IR,6.5,L_rth3,2021,BBCH19,0.6504,0.000188
IR,16.5,L_rth3,2021,BBCH19,0.8296,0.00006229
IR,26.5,L_rth3,2021,BBCH19,0.5433,0.00002176
IR,36.5,L_rth3,2021,BBCH19,0.7088,0.00005716
IR,6.5,S_rth3,2021,BBCH19,2.861,0.0009643
IR,16.5,S_rth3,2021,BBCH19,4.764,0.001117
IR,26.5,S_rth3,2021,BBCH19,2.5551,0.0004378
IR,36.5,S_rth3,2021,BBCH19,0,0.0002939
IR,6.5,S_WT,2021,BBCH19,2.2271,0.0002148
IR,16.5,S_WT,2021,BBCH19,1.1807,0.00006369
IR,26.5,S_WT,2021,BBCH19,2.4757,0.00005536
IR,36.5,S_WT,2021,BBCH19,1.2823,0.00002942
IR,6.5,L_rth3,2021,BBCH19,0.1199,0.0000922
IR,16.5,L_rth3,2021,BBCH19,0.07568,0.00001299
IR,26.5,L_rth3,2021,BBCH19,0.01513,0.0000040643
IR,36.5,L_rth3,2021,BBCH19,0.1336,0.00009819
IR,6.5,L_WT,2021,BBCH19,1.7497,0.00004274
IR,16.5,L_WT,2021,BBCH19,0.8397,0.0000026446
IR,26.5,L_WT,2021,BBCH19,0.5379,0.0000060761
IR,36.5,L_WT,2021,BBCH19,0.8263,0.00003174
IR,6.5,S_WT,2021,BBCH19,0.2365,0.0006372
IR,16.5,S_WT,2021,BBCH19,1.2366,0.0004049
IR,26.5,S_WT,2021,BBCH19,2.3479,0.0002404
IR,36.5,S_WT,2021,BBCH19,1.9702,0.0002967
IR,6.5,L_rth3,2021,BBCH19,1.0143,0.0001383
IR,16.5,L_rth3,2021,BBCH19,1.3162,0.0001495
IR,26.5,L_rth3,2021,BBCH19,0.2929,0.00002004
IR,36.5,L_rth3,2021,BBCH19,0.1974,0.0000077954
IR,6.5,L_WT,2021,BBCH19,0.8829,0.00007064
IR,16.5,L_WT,2021,BBCH19,0.8,0.00003899
IR,26.5,L_WT,2021,BBCH19,0.4628,0.00005491
IR,36.5,L_WT,2021,BBCH19,0.3947,0.00006125
IR,6.5,S_rth3,2021,BBCH19,1.3805,0.0004168
IR,16.5,S_rth3,2021,BBCH19,1.3368,0.0001533
IR,26.5,S_rth3,2021,BBCH19,0.2232,0.00001133
IR,36.5,S_rth3,2021,BBCH19,0.4243,0.0000037368
IR,6.5,L_rth3,2021,BBCH19,0,0.0001265
IR,16.5,L_rth3,2021,BBCH19,1.0287,0.00001848
IR,26.5,L_rth3,2021,BBCH19,0.3499,0.00001205
IR,36.5,L_rth3,2021,BBCH19,0.4004,0.00001025
IR,6.5,S_WT,2021,BBCH19,0.211,0.0001034
IR,16.5,S_WT,2021,BBCH19,0.8213,0.0001476
IR,26.5,S_WT,2021,BBCH19,0.5312,0.0001783
IR,36.5,S_WT,2021,BBCH19,1.0448,0.0000272
IR,6.5,S_rth3,2021,BBCH19,0.5413,0.0008689
IR,16.5,S_rth3,2021,BBCH19,1.249,0.00007413
IR,26.5,S_rth3,2021,BBCH19,1.4903,0.0001562
IR,36.5,S_rth3,2021,BBCH19,0.9391,0.00006005
IR,6.5,L_WT,2021,BBCH19,0.9732,0.00003682
IR,16.5,L_WT,2021,BBCH19,0.8485,0.00001128
IR,26.5,L_WT,2021,BBCH19,0.8933,0.00003652
IR,36.5,L_WT,2021,BBCH19,0.6347,0.0000162
IR,6.5,S_WT,2021,BBCH19,1.787,0.00145
IR,16.5,S_WT,2021,BBCH19,2.7014,0.0001391
IR,26.5,S_WT,2021,BBCH19,0.3582,0.0003398
IR,36.5,S_WT,2021,BBCH19,0.5088,0.00007799
IR,6.5,S_rth3,2021,BBCH19,3.2785,0.0003647
IR,16.5,S_rth3,2021,BBCH19,1.8999,0.00006713
IR,26.5,S_rth3,2021,BBCH19,0.9652,0.00006817
IR,36.5,S_rth3,2021,BBCH19,0.3904,0.00007934
IR,6.5,L_WT,2021,BBCH19,0.4898,0.00001686
IR,16.5,L_WT,2021,BBCH19,0.729,0.00002732
IR,26.5,L_WT,2021,BBCH19,0.4608,0
IR,36.5,L_WT,2021,BBCH19,0.5444,0.00001281
IR,6.5,L_rth3,2021,BBCH19,1.1977,0.00001501
IR,16.5,L_rth3,2021,BBCH19,0.7341,0.00002011
IR,26.5,L_rth3,2021,BBCH19,0.4198,0.0000091625
IR,36.5,L_rth3,2021,BBCH19,0.3056,0.00008546
IR,6.5,S_rth3,2021,BBCH19,2.874,0.000668
IR,16.5,S_rth3,2021,BBCH19,4.6467,0.0001894
IR,26.5,S_rth3,2021,BBCH19,1.3058,0.0001577
IR,36.5,S_rth3,2021,BBCH19,0.8701,0.0001506
IR,6.5,L_WT,2021,BBCH19,0.6644,0.00003243
IR,16.5,L_WT,2021,BBCH19,0.6663,0.00001282
IR,26.5,L_WT,2021,BBCH19,0.4861,0.00002461
IR,36.5,L_WT,2021,BBCH19,1.3086,0.0000064108
IR,6.5,L_rth3,2021,BBCH19,0.5143,0.0001751
IR,16.5,L_rth3,2021,BBCH19,0.2996,0.0002584
IR,26.5,L_rth3,2021,BBCH19,0.2991,0.00008326
IR,36.5,L_rth3,2021,BBCH19,0.4119,0.00007719
IR,6.5,S_WT,2021,BBCH19,1.1751,0.000194
IR,16.5,S_WT,2021,BBCH19,1.6278,0.00008995
IR,26.5,S_WT,2021,BBCH19,0.3544,0.0001035
IR,36.5,S_WT,2021,BBCH19,0,0.0001244
IR,6.5,L_WT,2022,BBCH19,0.9302,0.0003619
IR,16.5,L_WT,2022,BBCH19,0.6493,0.0001419
IR,26.5,L_WT,2022,BBCH19,0.7771,0.00004438
IR,36.5,L_WT,2022,BBCH19,0.8955,0.0001179
IR,6.5,S_rth3,2022,BBCH19,1.6349,0.0005066
IR,16.5,S_rth3,2022,BBCH19,3.095,0.001045
IR,26.5,S_rth3,2022,BBCH19,2.1031,0.0002377
IR,36.5,S_rth3,2022,BBCH19,1.2735,0.0001336
IR,6.5,S_WT,2022,BBCH19,1.7355,0.0008934
IR,16.5,S_WT,2022,BBCH19,1.5403,0.0004785
IR,26.5,S_WT,2022,BBCH19,2.0231,0.0004251
IR,36.5,S_WT,2022,BBCH19,1.288,0.0001902
IR,6.5,L_rth3,2022,BBCH19,0.2712,0.000183
IR,16.5,L_rth3,2022,BBCH19,1.0219,0.0004637
IR,26.5,L_rth3,2022,BBCH19,0.499,0.0001485
IR,36.5,L_rth3,2022,BBCH19,1.0383,0.0000010485
IR,6.5,S_rth3,2022,BBCH19,1.6924,0.001291
IR,16.5,S_rth3,2022,BBCH19,1.5165,0.0005543
IR,26.5,S_rth3,2022,BBCH19,1.2918,0.0004036
IR,36.5,S_rth3,2022,BBCH19,0.8572,0.0001304
IR,6.5,S_WT,2022,BBCH19,0.9315,0.001425
IR,16.5,S_WT,2022,BBCH19,2.5961,0.0002983
IR,26.5,S_WT,2022,BBCH19,1.8826,0.0005559
IR,36.5,S_WT,2022,BBCH19,1.1669,0.0001328
IR,6.5,L_rth3,2022,BBCH19,1.7191,0.00005413
IR,16.5,L_rth3,2022,BBCH19,1.2447,0.00004372
IR,26.5,L_rth3,2022,BBCH19,0.5272,0.00003874
IR,36.5,L_rth3,2022,BBCH19,1.0833,0.00006294
IR,6.5,L_WT,2022,BBCH19,0.258,0.00003959
IR,16.5,L_WT,2022,BBCH19,1.285,0.00005957
IR,26.5,L_WT,2022,BBCH19,0.2492,0.0000015337
IR,36.5,L_WT,2022,BBCH19,0.5581,0.00002509
IR,6.5,S_WT,2022,BBCH19,1.669,0.0009725
IR,16.5,S_WT,2022,BBCH19,1.5592,0.0002782
IR,26.5,S_WT,2022,BBCH19,0.5924,0.0002365
IR,36.5,S_WT,2022,BBCH19,1.9593,0.00037
IR,6.5,L_rth3,2022,BBCH19,0,0.00004048
IR,16.5,L_rth3,2022,BBCH19,0.3607,0.00009056
IR,26.5,L_rth3,2022,BBCH19,0.5082,0.0001502
IR,36.5,L_rth3,2022,BBCH19,0.7479,0.00001201
IR,6.5,L_WT,2022,BBCH19,1.1453,0.00006778
IR,16.5,L_WT,2022,BBCH19,0.07934,0.0000367
IR,26.5,L_WT,2022,BBCH19,0.08526,0.0001386
IR,36.5,L_WT,2022,BBCH19,0.264,0.0001195
IR,6.5,S_rth3,2022,BBCH19,1.5449,0.001111
IR,16.5,S_rth3,2022,BBCH19,1.1338,0.001028
IR,26.5,S_rth3,2022,BBCH19,0.3483,0.0002854
IR,36.5,S_rth3,2022,BBCH19,0.9136,0.0003685
IR,6.5,L_rth3,2022,BBCH19,1.3133,0.0001925
IR,16.5,L_rth3,2022,BBCH19,0.4043,0.0001127
IR,26.5,L_rth3,2022,BBCH19,0.2345,0.00005043
IR,36.5,L_rth3,2022,BBCH19,0.4148,0.0001136
IR,6.5,S_WT,2022,BBCH19,1.9707,0.00103
IR,16.5,S_WT,2022,BBCH19,2.8043,0.001079
IR,26.5,S_WT,2022,BBCH19,0.3783,0.0007875
IR,36.5,S_WT,2022,BBCH19,1.8131,0.0003858
IR,6.5,S_rth3,2022,BBCH19,1.2818,0.0008811
IR,16.5,S_rth3,2022,BBCH19,1.7964,0.0004274
IR,26.5,S_rth3,2022,BBCH19,0.6944,0.0003545
IR,36.5,S_rth3,2022,BBCH19,2.5977,0.0001758
IR,6.5,L_WT,2022,BBCH19,0.6536,0.00004617
IR,16.5,L_WT,2022,BBCH19,0.6008,0.00008315
IR,26.5,L_WT,2022,BBCH19,0.6265,0.00004612
IR,36.5,L_WT,2022,BBCH19,0.1887,0.00003658
IR,6.5,S_WT,2022,BBCH19,1.4805,0.001364
IR,16.5,S_WT,2022,BBCH19,1.4975,0.0004903
IR,26.5,S_WT,2022,BBCH19,1.1796,0.0005345
IR,36.5,S_WT,2022,BBCH19,2.3312,0.0002874
IR,6.5,S_rth3,2022,BBCH19,0.1515,0.001856
IR,16.5,S_rth3,2022,BBCH19,2.3534,0.0008416
IR,26.5,S_rth3,2022,BBCH19,1.6529,0.00073
IR,36.5,S_rth3,2022,BBCH19,0.9052,0.0005101
IR,6.5,L_WT,2022,BBCH19,1.8919,0.00003551
IR,16.5,L_WT,2022,BBCH19,0.4045,0.0000025844
IR,26.5,L_WT,2022,BBCH19,1.4728,0.0000029985
IR,36.5,L_WT,2022,BBCH19,0.8454,0.0000115
IR,6.5,L_rth3,2022,BBCH19,2.0653,0.0001119
IR,16.5,L_rth3,2022,BBCH19,0.3456,0.00004101
IR,26.5,L_rth3,2022,BBCH19,0.5611,0.00005957
IR,36.5,L_rth3,2022,BBCH19,0.3424,0.00002787
IR,6.5,S_rth3,2022,BBCH19,1.9624,0.0009343
IR,16.5,S_rth3,2022,BBCH19,0.9725,0.001076
IR,26.5,S_rth3,2022,BBCH19,0.7246,0.0008935
IR,36.5,S_rth3,2022,BBCH19,1.9829,0.0002425
IR,6.5,L_WT,2022,BBCH19,1.4551,0.0002172
IR,16.5,L_WT,2022,BBCH19,0.3175,0.00005004
IR,26.5,L_WT,2022,BBCH19,0.5446,0.00003669
IR,36.5,L_WT,2022,BBCH19,0.586,0.00003299
IR,6.5,L_rth3,2022,BBCH19,0.3354,0.00007048
IR,16.5,L_rth3,2022,BBCH19,0.4984,0.0001162
IR,26.5,L_rth3,2022,BBCH19,0.7285,0.0000883
IR,36.5,L_rth3,2022,BBCH19,0.7391,0.0000385
IR,6.5,S_WT,2022,BBCH19,2.0384,0.00108
IR,16.5,S_WT,2022,BBCH19,2.7374,0.0008498
IR,26.5,S_WT,2022,BBCH19,2.4089,0
IR,36.5,S_WT,2022,BBCH19,1.182,0.0002396
IR,6.5,L_WT,2023,BBCH19,0.8146,0.00009323
IR,16.5,L_WT,2023,BBCH19,0.4014,0.0001413
IR,26.5,L_WT,2023,BBCH19,0.1771,0.00002085
IR,36.5,L_WT,2023,BBCH19,0.2501,0.0001456
IR,6.5,S_rth3,2023,BBCH19,1.0034,0.0008634
IR,16.5,S_rth3,2023,BBCH19,4.2392,0.0009839
IR,26.5,S_rth3,2023,BBCH19,1.028,0.0005938
IR,36.5,S_rth3,2023,BBCH19,1.6332,0.0004941
IR,6.5,S_WT,2023,BBCH19,2.667,0.002263
IR,16.5,S_WT,2023,BBCH19,1.0083,0.001035
IR,26.5,S_WT,2023,BBCH19,0.8076,0.0005341
IR,36.5,S_WT,2023,BBCH19,1.2904,0.0001437
IR,6.5,L_rth3,2023,BBCH19,2.6574,0.0001347
IR,16.5,L_rth3,2023,BBCH19,1.7111,0.0002025
IR,26.5,L_rth3,2023,BBCH19,0.4439,0.00004218
IR,36.5,L_rth3,2023,BBCH19,1.1551,0.00002167
IR,6.5,S_rth3,2023,BBCH19,3.0726,0.001738
IR,16.5,S_rth3,2023,BBCH19,4.8727,0.0003765
IR,26.5,S_rth3,2023,BBCH19,0.7156,0.0001217
IR,36.5,S_rth3,2023,BBCH19,0.4449,0.00003058
IR,6.5,S_WT,2023,BBCH19,0.02322,0.0007694
IR,16.5,S_WT,2023,BBCH19,3.405,0.0005908
IR,26.5,S_WT,2023,BBCH19,1.2101,0.0004351
IR,36.5,S_WT,2023,BBCH19,0.3585,0.0002593
IR,6.5,L_rth3,2023,BBCH19,0.8861,0.0003501
IR,16.5,L_rth3,2023,BBCH19,0.2103,0.0001634
IR,26.5,L_rth3,2023,BBCH19,0.1623,0.00008819
IR,36.5,L_rth3,2023,BBCH19,0.0295,0.00006256
IR,6.5,L_WT,2023,BBCH19,0.947,0.0001091
IR,16.5,L_WT,2023,BBCH19,0.2775,0.00006822
IR,26.5,L_WT,2023,BBCH19,0.7628,0.00008209
IR,36.5,L_WT,2023,BBCH19,0.6782,0.0000021094
IR,6.5,S_WT,2023,BBCH19,1.0785,0.0009176
IR,16.5,S_WT,2023,BBCH19,3.7186,0.000664
IR,26.5,S_WT,2023,BBCH19,0.8723,0.0007419
IR,36.5,S_WT,2023,BBCH19,0.5375,0.0001206
IR,6.5,L_rth3,2023,BBCH19,0.1817,0.0002104
IR,16.5,L_rth3,2023,BBCH19,0.771,0.0002225
IR,26.5,L_rth3,2023,BBCH19,0.706,0.0002929
IR,36.5,L_rth3,2023,BBCH19,0.3898,0.0001711
IR,6.5,L_WT,2023,BBCH19,1.8633,0.0005894
IR,16.5,L_WT,2023,BBCH19,0.4658,0.0001311
IR,26.5,L_WT,2023,BBCH19,0.1055,0.0001418
IR,36.5,L_WT,2023,BBCH19,0.7414,0.00001732
IR,6.5,S_rth3,2023,BBCH19,0.8021,0.003836
IR,16.5,S_rth3,2023,BBCH19,2.0663,0.001233
IR,26.5,S_rth3,2023,BBCH19,1.6712,0.001181
IR,36.5,S_rth3,2023,BBCH19,0.6886,0.0002531
IR,6.5,L_rth3,2023,BBCH19,0.4228,0.00004386
IR,16.5,L_rth3,2023,BBCH19,0.4746,0.00005206
IR,26.5,L_rth3,2023,BBCH19,0.8341,0.00004059
IR,36.5,L_rth3,2023,BBCH19,0.6127,0.00008679
IR,6.5,S_WT,2023,BBCH19,1.6885,0.001219
IR,16.5,S_WT,2023,BBCH19,2.0964,0.0006778
IR,26.5,S_WT,2023,BBCH19,1.563,0.000258
IR,36.5,S_WT,2023,BBCH19,1.1511,0.00006142
IR,6.5,S_rth3,2023,BBCH19,1.5976,0.002968
IR,16.5,S_rth3,2023,BBCH19,1.2943,0.0005185
IR,26.5,S_rth3,2023,BBCH19,0.8896,0.0002625
IR,36.5,S_rth3,2023,BBCH19,0.1336,0.0003285
IR,6.5,L_WT,2023,BBCH19,0.2734,0.00001086
IR,16.5,L_WT,2023,BBCH19,0.5734,0.00002099
IR,26.5,L_WT,2023,BBCH19,0.5456,0.00006582
IR,36.5,L_WT,2023,BBCH19,0.8659,0.00001176
IR,6.5,S_WT,2023,BBCH19,0.8648,0.001571
IR,16.5,S_WT,2023,BBCH19,1.9181,0.00053
IR,26.5,S_WT,2023,BBCH19,0.7782,0.0001762
IR,36.5,S_WT,2023,BBCH19,1.0239,0.0005396
IR,6.5,S_rth3,2023,BBCH19,1.3788,0.001498
IR,16.5,S_rth3,2023,BBCH19,2.5501,0.0005151
IR,26.5,S_rth3,2023,BBCH19,1.9935,0.0003518
IR,36.5,S_rth3,2023,BBCH19,0.1667,0.0003498
IR,6.5,L_WT,2023,BBCH19,2.4428,0.0000076135
IR,16.5,L_WT,2023,BBCH19,0.6957,0.00001145
IR,26.5,L_WT,2023,BBCH19,1.3461,0.00001074
IR,36.5,L_WT,2023,BBCH19,0.5974,0.0000099805
IR,6.5,L_rth3,2023,BBCH19,2.0733,0.00008913
IR,16.5,L_rth3,2023,BBCH19,0.06977,0.00003504
IR,26.5,L_rth3,2023,BBCH19,0.5531,0.00002838
IR,36.5,L_rth3,2023,BBCH19,0.783,0.00002698
IR,6.5,S_rth3,2023,BBCH19,0.9425,0.0009912
IR,16.5,S_rth3,2023,BBCH19,1.1216,0.0006178
IR,26.5,S_rth3,2023,BBCH19,1.098,0.0002816
IR,36.5,S_rth3,2023,BBCH19,0.5891,0.00009012
IR,6.5,L_WT,2023,BBCH19,0.08756,0.0001246
IR,16.5,L_WT,2023,BBCH19,0.615,0.0001138
IR,26.5,L_WT,2023,BBCH19,0.491,0.0000381
IR,36.5,L_WT,2023,BBCH19,0.3219,0.00003539
IR,6.5,L_rth3,2023,BBCH19,0.6089,0.0002081
IR,16.5,L_rth3,2023,BBCH19,0.4128,0.0002641
IR,26.5,L_rth3,2023,BBCH19,0.1767,0.000164
IR,36.5,L_rth3,2023,BBCH19,0.2082,0.00001768
IR,6.5,S_WT,2023,BBCH19,0.3063,0.0009199
IR,16.5,S_WT,2023,BBCH19,0.8772,0.0006062
IR,26.5,S_WT,2023,BBCH19,1.4901,0.000923
IR,36.5,S_WT,2023,BBCH19,0.5918,0.0005817
