node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius time age type organ parent_node_id 
5 6 1 0.0218 0.0992 -4.1845 0.0605 0.0895 -4.6829 0.0322 0.2674 30.0000 1 2 1  
38133 38134 30 -0.2916 -1.6820 -3.6113 -0.3432 -1.8352 -3.6955 0.0332 0.2730 30.0000 1 2 30  
36933 36934 29 1.2469 0.0147 -3.4252 1.7124 0.0485 -3.6045 0.0403 0.2740 30.0000 1 2 29  
18511 18512 15 -1.1299 0.3944 -3.3955 -1.5375 0.6117 -3.5870 0.0380 0.2776 30.0000 1 2 15  
13434 13435 11 0.2138 -1.1870 -3.2838 0.2515 -1.3557 -3.3409 0.0422 0.2776 30.0000 1 2 11  
35432 35433 28 -1.1021 -0.4081 -3.5711 -1.4862 -0.5410 -3.8623 0.0441 0.2806 30.0000 1 2 28  
28878 28879 23 -1.6755 0.2523 -3.8191 -1.7620 0.2883 -3.8728 0.0385 0.2810 30.0000 1 2 23  
7905 7906 7 0.2479 -1.6089 -3.5743 0.2465 -1.7212 -3.6206 0.0277 0.2821 30.0000 1 2 7  
5189 5190 5 -1.4739 -0.2521 -3.7355 -1.6318 -0.2714 -3.8366 0.0365 0.2869 30.0000 1 2 5  
9400 9401 8 -1.1399 0.4492 -3.4056 -1.5675 0.6173 -3.6028 0.0472 0.2934 30.0000 1 2 8  
35433 35434 28 -1.4862 -0.5410 -3.8623 -1.5425 -0.5648 -3.9263 0.0441 0.2944 30.0000 1 2 28  
23865 23866 19 0.0825 1.1770 -3.5600 0.2061 1.6019 -3.7928 0.0417 0.2974 30.0000 1 2 19  
6 7 1 0.0605 0.0895 -4.6829 0.0519 0.0926 -4.8758 0.0322 0.2983 30.0000 1 2 1  
16102 16103 13 0.2524 -1.3820 -3.0029 0.3840 -1.8616 -3.0539 0.0426 0.2984 30.0000 1 2 13  
14755 14756 12 -0.7356 -0.8913 -3.1094 -1.0807 -1.2530 -3.1186 0.0343 0.2988 30.0000 1 2 12  
36934 36935 29 1.7124 0.0485 -3.6045 1.8659 0.0426 -3.6928 0.0403 0.3010 30.0000 1 2 29  
16103 16104 13 0.3840 -1.8616 -3.0539 0.3926 -1.8876 -3.0599 0.0426 0.3028 30.0000 1 2 13  
39665 39666 31 -0.1359 1.1379 -3.3233 -0.2067 1.5992 -3.5027 0.0419 0.3037 30.0000 1 2 31  
34121 34122 27 0.5056 0.9793 -3.6219 0.6305 1.3291 -3.9566 0.0379 0.3041 30.0000 1 2 27  
1310 1311 2 0.5801 -1.1582 -3.3056 0.7904 -1.5987 -3.4139 0.0390 0.3051 30.0000 1 2 2  
23866 23867 19 0.2061 1.6019 -3.7928 0.2177 1.6510 -3.8163 0.0417 0.3067 30.0000 1 2 19  
25161 25162 20 1.0154 -0.8233 -3.3568 1.2852 -1.1628 -3.6058 0.0359 0.3134 30.0000 1 2 20  
12149 12150 10 -0.2951 -1.5513 -3.9840 -0.3374 -1.8994 -4.3404 0.0353 0.3164 30.0000 1 2 10  
18512 18513 15 -1.5375 0.6117 -3.5870 -1.7362 0.7182 -3.6842 0.0380 0.3167 30.0000 1 2 15  
39666 39667 31 -0.2067 1.5992 -3.5027 -0.2129 1.6637 -3.5352 0.0419 0.3168 30.0000 1 2 31  
9401 9402 8 -1.5675 0.6173 -3.6028 -1.6912 0.6644 -3.6735 0.0472 0.3182 30.0000 1 2 8  
31627 31628 25 0.9472 0.7074 -3.3958 1.3434 0.9348 -3.5990 0.0456 0.3191 30.0000 1 2 25  
6599 6600 6 -0.2983 1.2035 -3.5028 -0.2495 1.6371 -3.7470 0.0444 0.3192 30.0000 1 2 6  
30335 30336 24 0.5312 1.0195 -3.6494 0.7065 1.3422 -3.9888 0.0412 0.3193 30.0000 1 2 24  
21285 21286 17 0.9698 0.4892 -3.7716 1.2562 0.6159 -4.1614 0.0366 0.3195 30.0000 1 2 17  
10613 10614 9 -0.9583 1.1789 -3.8312 -1.1728 1.4905 -4.1583 0.0364 0.3208 30.0000 1 2 9  
14756 14757 12 -1.0807 -1.2530 -3.1186 -1.1649 -1.3420 -3.1151 0.0343 0.3211 30.0000 1 2 12  
34122 34123 27 0.6305 1.3291 -3.9566 0.6534 1.3984 -4.0244 0.0379 0.3214 30.0000 1 2 27  
6600 6601 6 -0.2495 1.6371 -3.7470 -0.2471 1.6659 -3.7631 0.0444 0.3250 30.0000 1 2 6  
10614 10615 9 -1.1728 1.4905 -4.1583 -1.1969 1.5219 -4.1967 0.0364 0.3288 30.0000 1 2 9  
12150 12151 10 -0.3374 -1.8994 -4.3404 -0.3348 -1.9591 -4.4191 0.0353 0.3297 30.0000 1 2 10  
32815 32816 26 -0.1827 -1.3427 -3.2806 -0.1827 -1.7252 -3.6027 0.0435 0.3307 30.0000 1 2 26  
1311 1312 2 0.7904 -1.5987 -3.4139 0.8508 -1.7388 -3.4559 0.0390 0.3317 30.0000 1 2 2  
26225 26226 21 1.3209 -0.5085 -4.0093 1.5693 -0.6896 -4.4036 0.0361 0.3327 30.0000 1 2 21  
27508 27509 22 1.0959 0.6270 -3.3834 1.4610 0.9043 -3.5829 0.0406 0.3338 30.0000 1 2 22  
22492 22493 18 1.5802 0.1924 -3.6977 2.0018 0.1575 -3.9643 0.0366 0.3343 30.0000 1 2 18  
21286 21287 17 1.2562 0.6159 -4.1614 1.3071 0.6371 -4.2279 0.0366 0.3347 30.0000 1 2 17  
30336 30337 24 0.7065 1.3422 -3.9888 0.7432 1.3993 -4.0568 0.0412 0.3363 30.0000 1 2 24  
19945 19946 16 -1.1354 0.0541 -3.4845 -1.5728 0.0758 -3.7257 0.0388 0.3365 30.0000 1 2 16  
25162 25163 20 1.2852 -1.1628 -3.6058 1.3626 -1.2521 -3.6781 0.0359 0.3367 30.0000 1 2 20  
2746 2747 3 -1.1978 -0.3175 -3.3107 -1.6101 -0.4968 -3.5295 0.0364 0.3379 30.0000 1 2 3  
3850 3851 4 0.0326 1.2577 -3.0536 -0.0760 1.7385 -3.1375 0.0438 0.3380 30.0000 1 2 4  
19946 19947 16 -1.5728 0.0758 -3.7257 -1.5869 0.0766 -3.7340 0.0388 0.3397 30.0000 1 2 16  
32816 32817 26 -0.1827 -1.7252 -3.6027 -0.1793 -1.7662 -3.6368 0.0435 0.3401 30.0000 1 2 26  
38134 38135 30 -0.3432 -1.8352 -3.6955 -0.5138 -2.2273 -3.9546 0.0332 0.3411 30.0000 1 2 30  
27509 27510 22 1.4610 0.9043 -3.5829 1.4937 0.9263 -3.6084 0.0406 0.3425 30.0000 1 2 22  
31628 31629 25 1.3434 0.9348 -3.5990 1.4385 1.0206 -3.6660 0.0456 0.3457 30.0000 1 2 25  
38135 38136 30 -0.5138 -2.2273 -3.9546 -0.5310 -2.2633 -3.9837 0.0332 0.3479 30.0000 1 2 30  
28879 28880 23 -1.7620 0.2883 -3.8728 -2.1433 0.4435 -4.1565 0.0385 0.3522 30.0000 1 2 23  
28880 28881 23 -2.1433 0.4435 -4.1565 -2.1517 0.4467 -4.1635 0.0385 0.3538 30.0000 1 2 23  
