x1 y1 z1 x2 y2 z2 radius R G B time type organ 
6.5182 0.9271 -26.1164 6.5693 1.0371 -26.3350 0.2000 1.0000 0.0000 0.0000 6.2279 1.0000 2.0000 
6.5693 1.0371 -26.3350 6.6171 1.0756 -26.5774 0.2000 1.0000 0.0000 0.0000 6.2929 1.0000 2.0000 
6.6171 1.0756 -26.5774 6.6790 1.0919 -26.8190 0.2000 1.0000 0.0000 0.0000 6.3581 1.0000 2.0000 
6.6790 1.0919 -26.8190 6.7334 1.1042 -27.0627 0.2000 1.0000 0.0000 0.0000 6.4234 1.0000 2.0000 
6.7334 1.1042 -27.0627 6.7334 1.1042 -27.0627 0.2000 1.0000 0.0000 0.0000 6.4234 1.0000 2.0000 
6.7334 1.1042 -27.0627 6.7946 1.1108 -27.3050 0.2000 1.0000 0.0000 0.0000 6.4889 1.0000 2.0000 
6.7946 1.1108 -27.3050 6.8635 1.1165 -27.5453 0.2000 1.0000 0.0000 0.0000 6.5544 1.0000 2.0000 
6.8635 1.1165 -27.5453 6.9491 1.1039 -27.7798 0.2000 1.0000 0.0000 0.0000 6.6201 1.0000 2.0000 
6.9491 1.1039 -27.7798 7.0547 1.0082 -27.9852 0.2000 1.0000 0.0000 0.0000 6.6859 1.0000 2.0000 
7.0547 1.0082 -27.9852 7.0547 1.0082 -27.9852 0.2000 1.0000 0.0000 0.0000 6.6859 1.0000 2.0000 
7.0547 1.0082 -27.9852 7.1576 0.9264 -28.1979 0.2000 1.0000 0.0000 0.0000 6.7518 1.0000 2.0000 
7.1576 0.9264 -28.1979 7.2551 0.8468 -28.4138 0.2000 1.0000 0.0000 0.0000 6.8179 1.0000 2.0000 
7.2551 0.8468 -28.4138 7.3453 0.7706 -28.6342 0.2000 1.0000 0.0000 0.0000 6.8841 1.0000 2.0000 
7.3453 0.7706 -28.6342 7.4349 0.6914 -28.8538 0.2000 1.0000 0.0000 0.0000 6.9504 1.0000 2.0000 
7.4349 0.6914 -28.8538 7.4349 0.6914 -28.8538 0.2000 1.0000 0.0000 0.0000 6.9504 1.0000 2.0000 
7.4349 0.6914 -28.8538 7.5015 0.6357 -29.0882 0.2000 1.0000 0.0000 0.0000 7.0168 1.0000 2.0000 
7.5015 0.6357 -29.0882 7.5585 0.5791 -29.3249 0.2000 1.0000 0.0000 0.0000 7.0834 1.0000 2.0000 
7.5585 0.5791 -29.3249 7.5585 0.5791 -29.3249 0.2000 1.0000 0.0000 0.0000 7.0834 1.0000 2.0000 
7.5585 0.5791 -29.3249 7.5971 0.5806 -29.5720 0.2000 1.0000 0.0000 0.0000 7.1501 1.0000 2.0000 
7.5971 0.5806 -29.5720 7.6315 0.5856 -29.8195 0.2000 1.0000 0.0000 0.0000 7.2169 1.0000 2.0000 
7.6315 0.5856 -29.8195 7.6888 0.5689 -30.0623 0.2000 1.0000 0.0000 0.0000 7.2839 1.0000 2.0000 
7.6888 0.5689 -30.0623 7.7432 0.5457 -30.3052 0.2000 1.0000 0.0000 0.0000 7.3510 1.0000 2.0000 
